LA or CTY,RGN19NM,RGN19CD,GSS_CD,GSS_NM,17-Mar,18-Mar,19-Mar,20-Mar,21-Mar,22-Mar,23-Mar,24-Mar,25-Mar
LA,North East,E12000001,E06000057,Northumberland,0,4,6,7,10,10,10,13,19
LA,East Midlands,E12000004,E06000018,Nottingham,12,14,14,22,22,34,41,49,57
CTY,East Midlands,E12000004,E10000024,Nottinghamshire,13,28,29,41,45,60,71,78,92
LA,North West,E12000002,E08000004,Oldham,10,12,14,14,15,23,28,34,42
CTY,South East,E12000008,E10000025,Oxfordshire,25,34,34,40,44,52,63,69,86
LA,East of England,E12000006,E06000031,Peterborough,0,2,2,2,2,2,3,6,9
LA,South West,E12000009,E06000026,Plymouth,2,5,7,7,11,11,11,16,21
LA,South East,E12000008,E06000044,Portsmouth,3,4,5,13,22,25,25,29,33
LA,South East,E12000008,E06000038,Reading,3,5,7,7,7,8,8,8,9
LA,London,E12000007,E09000026,Redbridge,4,7,18,27,42,45,51,57,67
LA,North East,E12000001,E06000003,Redcar and Cleveland,1,1,1,2,3,3,3,7,10
LA,London,E12000007,E09000027,Richmond upon Thames,3,7,12,16,22,25,31,36,44
LA,North West,E12000002,E08000005,Rochdale,4,6,9,12,13,15,19,24,29
LA,Yorkshire and The Humber,E12000003,E08000018,Rotherham,1,4,3,4,6,9,12,16,20
LA,East Midlands,E12000004,E06000017,Rutland,0,0,0,0,0,0,0,0,0
LA,North West,E12000002,E08000006,Salford,4,4,9,10,12,23,25,31,47
LA,West Midlands,E12000005,E08000028,Sandwell,6,6,7,11,15,20,31,47,50
LA,North West,E12000002,E08000014,Sefton,3,4,6,7,7,8,10,13,20
LA,Yorkshire and The Humber,E12000003,E08000019,Sheffield,1,36,40,48,61,82,106,130,174
LA,West Midlands,E12000005,E06000051,Shropshire,2,3,3,3,3,3,10,27,33
LA,South East,E12000008,E06000039,Slough,12,13,17,20,21,21,22,22,22
LA,West Midlands,E12000005,E08000029,Solihull,1,1,1,3,4,4,8,12,19
CTY,South West,E12000009,E10000027,Somerset,5,7,10,10,12,13,15,21,22
LA,South West,E12000009,E06000025,South Gloucestershire,6,9,12,13,14,17,19,19,25
LA,North East,E12000001,E08000023,South Tyneside,0,2,2,2,5,5,6,8,9
LA,South East,E12000008,E06000045,Southampton,3,4,7,7,8,11,11,24,28
LA,East of England,E12000006,E06000033,Southend-on-Sea,4,5,4,5,8,8,8,8,9
LA,London,E12000007,E09000028,Southwark,58,70,82,110,134,139,154,181,209
LA,North West,E12000002,E08000013,St. Helens,2,2,2,2,3,3,6,8,16
CTY,West Midlands,E12000005,E10000028,Staffordshire,10,14,18,25,35,41,54,76,97
LA,North West,E12000002,E08000007,Stockport,10,10,13,21,24,29,36,42,45
LA,North East,E12000001,E06000004,Stockton-on-Tees,3,6,9,9,10,11,12,12,14
LA,West Midlands,E12000005,E06000021,Stoke-on-Trent,0,1,2,2,2,2,4,9,12
CTY,East of England,E12000006,E10000029,Suffolk,3,10,13,13,15,18,22,28,35
LA,North East,E12000001,E08000024,Sunderland,1,3,4,5,11,11,13,20,25
CTY,South East,E12000008,E10000030,Surrey,30,39,45,57,65,68,69,110,117
LA,London,E12000007,E09000029,Sutton,10,12,14,19,23,24,24,40,45
LA,South West,E12000009,E06000030,Swindon,2,3,4,5,5,6,7,7,8
LA,North West,E12000002,E08000008,Tameside,10,12,14,19,21,21,27,32,35
LA,West Midlands,E12000005,E06000020,Telford and Wrekin,0,0,0,0,0,1,3,9,12
